month,day,neighborhood,crosswalk_wait_sec,litter_density_per_100m2,midnight_noise_db,atm_queue_length,vacant_storefronts_pct,dog_walk_freq_per_hr,graffiti_turnover_days,stress_index
Jan,1,Korattur,51.41,7.14,61.7,2.9,19.8,0.45,25,High
Jan,1,Velachery,29.74,3.23,54.1,1.9,8.6,1.02,6,Med
Jan,1,Adyar,17.31,1.52,52.9,0.8,4.5,2.61,2,Low
Jan,1,Ambattur,65.67,10.87,62.8,4.0,26.9,0.22,34,High
Jan,1,Nungambakkam,23.35,2.58,51.5,1.3,6.7,2.09,4,Low
Jan,1,Perambur,45.69,5.97,59.2,2.8,14.4,0.56,12,Med
Jan,1,Mylapore,27.32,2.9,53.5,1.3,7.0,2.1,5,Low
Jan,1,Sholinganallur,31.23,5.11,55.6,2.2,12.7,1.0,9,Med
Jan,1,Tondiarpet,57.9,10.97,62.3,3.2,20.2,0.29,23,Med
Jan,1,Anna Nagar,23.37,1.76,52.7,1.0,5.7,2.17,2,Low
Jan,1,Chromepet,38.5,4.99,60.7,3.0,13.4,0.75,13,Med
Jan,1,Kodambakkam,28.56,3.52,54.1,2.2,11.1,1.02,7,Med
Jan,2,Korattur,56.7,8.7,68.9,3.7,17.1,0.46,23,High
Jan,2,Velachery,28.32,4.08,53.2,1.8,9.4,1.36,7,Med
Jan,2,Adyar,18.9,1.3,53.7,1.1,4.0,2.55,3,Low
Jan,2,Ambattur,62.3,11.71,70.2,4.8,22.7,0.2,26,Med
Jan,2,Nungambakkam,25.72,2.47,50.9,1.0,6.8,2.35,3,Low
Jan,2,Perambur,37.49,7.81,64.6,2.6,15.7,0.64,13,Med
Jan,2,Mylapore,25.64,2.73,54.9,1.6,6.9,1.65,6,Low
Jan,2,Sholinganallur,34.01,4.75,55.2,2.1,11.2,0.98,8,Med
Jan,2,Tondiarpet,45.74,10.45,62.3,4.6,22.5,0.26,23,High
Jan,2,Anna Nagar,19.2,1.64,55.0,1.1,5.2,2.46,3,Low
Jan,2,Chromepet,33.23,5.32,59.1,2.6,14.3,0.9,13,Med
Jan,2,Kodambakkam,31.6,3.96,61.1,1.9,9.8,1.03,8,Med
Jan,3,Korattur,45.65,9.92,63.5,3.7,19.1,0.34,26,High
Jan,3,Velachery,34.73,4.48,59.9,1.6,9.4,1.02,6,Med
Jan,3,Adyar,18.21,1.73,48.5,1.1,4.2,2.34,3,Med
Jan,3,Ambattur,58.72,12.46,63.5,4.3,27.6,0.22,31,High
Jan,3,Nungambakkam,20.03,2.27,52.5,1.4,5.9,2.36,3,Low
Jan,3,Perambur,44.28,7.59,59.3,2.6,17.0,0.57,15,Med
Jan,3,Mylapore,25.61,3.14,54.8,1.7,6.9,1.94,4,Low
Jan,3,Sholinganallur,36.43,4.38,57.1,2.5,10.6,0.93,11,High
Jan,3,Tondiarpet,53.09,10.0,61.3,3.8,19.2,0.28,24,High
Jan,3,Anna Nagar,21.27,1.76,55.4,1.2,5.3,2.35,3,Med
Jan,3,Chromepet,33.3,6.2,57.6,3.0,14.3,0.72,10,Med
Jan,3,Kodambakkam,31.02,4.48,61.0,2.1,10.0,1.22,7,Med
Jan,4,Korattur,54.23,7.2,62.3,2.8,20.7,0.36,21,High
Jan,4,Velachery,31.01,3.34,60.7,2.0,8.8,0.94,6,Med
Jan,4,Adyar,18.5,1.23,49.3,1.1,4.6,1.97,2,Low
Jan,4,Ambattur,60.64,10.94,67.8,5.4,27.6,0.23,36,High
Jan,4,Nungambakkam,20.76,2.44,49.8,1.2,5.9,2.33,4,Low
Jan,4,Perambur,45.24,7.74,59.5,2.6,16.4,0.6,12,Med
Jan,4,Mylapore,23.88,3.5,53.3,1.7,7.9,1.59,5,Low
Jan,4,Sholinganallur,32.35,3.99,61.4,2.2,11.6,1.01,10,Med
Jan,4,Tondiarpet,45.06,11.33,62.6,4.1,23.0,0.26,27,High
Jan,4,Anna Nagar,22.8,1.85,55.4,0.9,5.7,1.93,2,Low
Jan,4,Chromepet,38.03,6.06,61.6,3.1,14.3,0.74,11,Low
Jan,4,Kodambakkam,33.75,4.45,54.3,2.4,10.5,1.12,7,Med
Jan,5,Korattur,50.16,7.65,65.7,3.1,19.8,0.37,22,High
Jan,5,Velachery,33.5,3.61,54.1,2.1,9.7,1.07,6,Med
Jan,5,Adyar,18.96,1.63,54.1,1.0,4.3,2.21,3,Low
Jan,5,Ambattur,50.71,13.43,64.3,4.4,26.8,0.18,26,Med
Jan,5,Nungambakkam,23.87,2.42,52.1,1.4,6.4,2.17,4,Low
Jan,5,Perambur,38.5,7.62,65.8,3.5,17.0,0.7,13,Med
Jan,5,Mylapore,27.79,3.01,55.1,1.7,6.8,1.52,5,Low
Jan,5,Sholinganallur,35.26,4.41,61.2,2.3,12.3,1.09,9,Med
Jan,5,Tondiarpet,51.65,8.75,68.9,3.9,22.1,0.36,24,High
Jan,5,Anna Nagar,20.9,1.71,51.0,1.1,5.0,2.06,3,Low
Jan,5,Chromepet,33.84,5.23,56.5,2.3,13.4,0.78,11,Med
Jan,5,Kodambakkam,35.8,4.03,60.2,2.5,9.5,1.21,8,Med
Jan,6,Korattur,55.9,7.99,62.9,3.8,20.2,0.43,23,High
Jan,6,Velachery,34.08,3.87,54.6,1.9,9.2,1.23,6,Med
Jan,6,Adyar,20.83,1.69,54.3,1.0,4.5,2.5,3,Low
Jan,6,Ambattur,56.51,13.08,63.8,4.3,24.3,0.21,29,High
Jan,6,Nungambakkam,21.56,2.56,51.8,1.4,6.3,2.19,3,Med
Jan,6,Perambur,39.49,6.03,66.5,2.5,14.3,0.57,16,Med
Jan,6,Mylapore,24.19,3.02,51.2,1.7,7.3,1.61,5,Low
Jan,6,Sholinganallur,39.47,5.1,61.4,2.0,11.1,0.97,10,Med
Jan,6,Tondiarpet,58.93,9.53,69.7,3.5,21.4,0.36,23,High
Jan,6,Anna Nagar,19.75,2.02,54.0,1.2,5.3,1.8,3,Low
Jan,6,Chromepet,32.91,5.75,55.2,2.5,13.6,0.82,10,Med
Jan,6,Kodambakkam,32.16,3.68,54.8,2.1,10.8,1.1,9,Med
Jan,7,Korattur,48.83,9.62,65.0,3.0,17.9,0.49,20,High
Jan,7,Velachery,32.74,3.98,58.2,1.8,9.4,1.07,6,Med
Jan,7,Adyar,17.53,1.35,51.2,1.1,4.2,2.43,2,Low
Jan,7,Ambattur,56.13,11.78,64.4,4.7,26.3,0.21,26,High
Jan,7,Nungambakkam,22.44,2.0,53.9,1.2,6.4,1.87,4,Low
Jan,7,Perambur,41.14,7.02,60.0,2.7,16.4,0.58,15,High
Jan,7,Mylapore,23.82,3.31,52.6,1.5,7.7,1.85,6,Low
Jan,7,Sholinganallur,32.53,4.49,56.9,2.5,10.7,0.77,7,Med
Jan,7,Tondiarpet,59.49,10.47,67.7,3.4,18.9,0.29,26,High
Jan,7,Anna Nagar,23.93,1.72,54.4,0.9,4.8,2.2,3,Low
Jan,7,Chromepet,33.85,6.07,64.2,2.2,13.0,0.86,11,Med
Jan,7,Kodambakkam,33.71,4.62,56.6,2.4,10.1,1.09,8,Med
Jan,8,Korattur,42.84,10.04,59.9,3.6,19.4,0.38,18,High
Jan,8,Velachery,30.92,3.4,55.9,2.0,9.4,0.94,5,Med
Jan,8,Adyar,20.94,1.24,48.2,0.9,4.4,2.5,3,Low
Jan,8,Ambattur,51.08,10.41,63.4,4.3,23.4,0.17,34,High
Jan,8,Nungambakkam,25.35,2.54,52.0,1.2,6.0,1.92,3,Low
Jan,8,Perambur,42.25,7.39,65.8,3.3,16.1,0.51,13,Med
Jan,8,Mylapore,29.09,3.14,50.4,1.6,7.8,1.84,5,Low
Jan,8,Sholinganallur,34.85,4.63,56.7,2.8,11.4,1.06,11,Med
Jan,8,Tondiarpet,51.06,9.33,61.0,3.5,20.6,0.31,27,High
Jan,8,Anna Nagar,22.64,1.57,48.1,0.9,4.8,2.45,3,Low
Jan,8,Chromepet,32.14,6.19,59.5,2.2,13.7,0.88,11,Med
